FASTIGHETSANALYS - EXPORT
Exportdatum,2026-01-07 13:03:11
Kommun,Östersund
Antal områden,2
DeSO-koder,"2380C1170, 2380C1220"

INKOMST
Metric,Område,Kommun,Riket
Medianinkomst (kr),279531,310000,325000
Medelinkomst (kr),368749,,
Percentil 20 (kr),209649,,
Percentil 80 (kr),391344,,

BEFOLKNING
Metric,Område,Kommun
Total befolkning,3153,64979
Tillväxttakt (%),"0.00%",

ÅLDERSFÖRDELNING
Åldersgrupp,Antal,Procent (%),Kommun Procent (%)
0-4 år,94,3.0,4.8
5-9 år,76,2.4,5.6
10-14 år,90,2.9,5.8
15-19 år,169,5.4,6.0
20-24 år,395,12.5,6.0
25-29 år,329,10.4,6.0
30-34 år,302,9.6,7.3
35-39 år,222,7.0,6.8
40-44 år,163,5.2,6.0
45-49 år,167,5.3,5.8
50-54 år,163,5.2,6.1
55-59 år,172,5.5,6.0
60-64 år,141,4.5,5.4
65-69 år,162,5.1,5.3
70-74 år,155,4.9,5.2
75-79 år,160,5.1,5.4
80+ år,197,6.2,6.5

UTBILDNING
Nivå,Område (%),Kommun (%),Riket (%)
Förgymnasial,8.6,20,18
Gymnasial,41.3,45,43
Eftergymnasial,50.1,35,39

HÄRKOMST
Kategori,Antal,Procent (%),Kommun Procent (%)
Svensk bakgrund,2428,77.0,86.7
Utländsk bakgrund,725,23.0,13.3

HUSHÅLLSSTORLEK
Metric,Område,Kommun
Totalt antal hushåll,1979,32788
Snitt storlek (personer/hushåll),1.56,1.85

Fördelning,Antal,Procent (%),Kommun Procent (%)
1 person,1255,63.4,47.2
2 personer,462,23.3,28.1
3+ personer,262,13.2,24.7

HUSTYP
Typ,Antal personer,Procent (%),Kommun Procent (%)
Småhus,76,3.2,50.0
Flerbostadshus,2277,96.8,50.0

UPPLÅTELSEFORM
Typ,Antal personer,Procent (%),Kommun Procent (%)
Äganderätt,10,0.4,29.5
Bostadsrätt,688,28.3,30.0
Hyresrätt,1734,71.3,40.5

FLYTTMÖNSTER
Metric,Värde
Nettoinflyttning,0

EKONOMISK STANDARD
Metric,Område,Kommun
Medianvärde (tkr),279,294
Medelvärde (tkr),369,336
Antal personer,3091,64134

Kvartil,Område (%),Kommun (%)
Kvartil 1,33.0,27.0
Kvartil 2,26.7,29.0
Kvartil 3,20.4,25.0
Kvartil 4,20.3,19.0

FÖRVÄRVSINKOMST
Metric,Område,Kommun
Medianvärde (tkr),310,334
Medelvärde (tkr),343,358
Antal personer,2693,50005

Kvartil,Område (%),Kommun (%)
Kvartil 1,28.7,23.0
Kvartil 2,29.0,30.0
Kvartil 3,23.5,27.0
Kvartil 4,18.8,21.0

PRISANALYS (Booli)

GENOMSNITTSPRISER
Kategori,Antal sålda,Medelpris (kr),Medel kr/m²,Tidigaste försäljning,Senaste försäljning
Succession,295,1966366,29615,2022-01-07,2025-12-19

SENASTE FÖRSÄLJNINGAR (Max 50 st)
Adress,Pris (kr),Kr/m²,Rum,Boarea (m²),Månadsavgift (kr),Såld datum,Kategori,BRF,Byggår,Våning
"Thoméegränd 4A",1295000,24904,2.0,52.00,5155,2025-12-19,Succession,HSB BRF Borgmästaren,N/A,N/A
"Köpmangatan 49B",1325000,27604,1.5,48.00,4304,2025-12-18,Succession,HSB BRF Riksbanken,N/A,N/A
"Fältjägargränd 16A",2250000,26163,3.0,86.00,4698,2025-12-14,Succession,BRF Rådmannen,N/A,N/A
"Storgatan 52B",3050000,30808,4.0,99.00,7458,2025-12-10,Succession,HSB BRF Skjutbanan,N/A,N/A
"Törnstens gränd 10B",2975000,28883,3.0,103.00,4912,2025-12-01,Succession,BRF Barberaren 1,N/A,N/A
"Thoméegränd 10",1400000,17722,3.0,79.00,4776,2025-11-22,Succession,-,N/A,N/A
"Kyrkgatan 55",2370000,28973,2.0,81.80,5692,2025-11-19,Succession,BRF Arken,N/A,N/A
"Prästgatan 10B",1775000,23826,3.0,74.50,5070,2025-11-13,Succession,HSB BRF Instrumentmakaren,N/A,N/A
"Kyrkgatan 55",2050000,28512,2.0,71.90,5310,2025-10-29,Succession,BRF Arken,N/A,N/A
"Storgatan 40",4300000,44979,3.0,95.60,7228,2025-10-25,Succession,Tullvakten i Östersund BRF,N/A,N/A
"Storgatan 52A",945000,29531,1.0,32.00,3286,2025-10-21,Succession,HSB BRF Skjutbanan,N/A,N/A
"Storsjöstråket 18",2300000,30667,2.0,75.00,6282,2025-10-20,Succession,BRF Sjöbodarna 1 Östersund,N/A,N/A
"Storgatan 60A",1900000,25000,3.0,76.00,4443,2025-10-16,Succession,BRF Härberget 4,N/A,N/A
"Storsjöstråket 20",2475000,33000,2.0,75.00,6682,2025-10-14,Succession,BRF Sjöbodarna 1 Östersund,N/A,N/A
"Brogränd 18",1750000,25547,3.0,68.50,4280,2025-09-30,Succession,BRF Östersundshus nr 10,N/A,N/A
"Köpmangatan 56B",2450000,27652,4.0,88.60,6588,2025-09-25,Succession,BRF Östersundshus nr 24,N/A,N/A
"Storgatan 60A",740000,33636,1.0,22.00,1286,2025-09-25,Succession,BRF Härberget 4,N/A,N/A
"Fältjägargränd 18",1995000,25253,3.0,79.00,5967,2025-09-24,Succession,Riksbyggen BRF Östersundshus 7,N/A,N/A
"Fältjägargränd 16A",1150000,30667,1.0,37.50,2048,2025-09-19,Succession,BRF Rådmannen,N/A,N/A
"Rådhusgatan 28B",2250000,18367,6.0,122.50,6406,2025-09-11,Succession,HSB BRF Kaptenen,N/A,N/A
"Rådhusgatan 60D",1195000,30177,1.0,39.60,3519,2025-09-10,Succession,HSB BRF Järnvägsmannen,N/A,N/A
"Rådhusgatan 28A",2200000,23784,3.0,92.50,5242,2025-09-08,Succession,HSB BRF Kaptenen,N/A,N/A
"Rådhusgatan 28B",2400000,19672,5.0,122.00,6630,2025-09-05,Succession,HSB BRF Kaptenen,N/A,N/A
"Storsjöstråket 18",3650000,41477,3.0,88.00,7570,2025-09-04,Succession,BRF Sjöbodarna 1 Östersund,N/A,N/A
"Prästgatan 65E",1150000,31944,1.5,36.00,2201,2025-08-15,Succession,BRF Hellströmska Palatset,N/A,N/A
"Storgatan 63A",1920000,21099,3.0,91.00,5393,2025-08-15,Succession,Riksbyggen BRF Brandenburg 4,N/A,N/A
"Storsjöstråket 16",3235000,38976,3.0,83.00,4751,2025-08-12,Succession,Riksbyggen BRF Storsjöstrand,N/A,N/A
"Köpmangatan 46C",1540000,29057,2.0,53.00,3330,2025-08-12,Succession,HSB BRF Filialbanken,N/A,N/A
"Storgatan 9C",1070000,31014,1.0,34.50,2644,2025-08-08,Succession,HSB BRF Instrumentmakaren,N/A,N/A
"Kyrkgatan 29A",1480000,24262,2.0,61.00,3805,2025-07-18,Succession,Riksbyggen BRF Repslagaren,N/A,N/A
"Storgatan 9D",1000000,19048,2.0,52.50,3594,2025-07-17,Succession,HSB BRF Instrumentmakaren,N/A,N/A
"Storgatan 50B",2475000,28779,2.0,86.00,7152,2025-07-14,Succession,HSB BRF Skjutbanan,N/A,N/A
